sample-id,Locality,Species,Kingdom,SVL,Weight,Elevation,Temperature,pH,Bio_1,Bio_9,Bio_10,Bio_11,Bio_12,Bio_13,Bio_14,Bio_15,Bio_16,Bio_17,Bio_18,Bio_19,Bio_2,Bio_3,Bio_4,Bio_5,Bio_6,Bio_7,Bio_8,Pp,Tmin ,Tmax,DO
M-AnZa01,Zacapu,A. andersoni,Bacteria,13,130,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa02,Zacapu,A. andersoni,Bacteria,14,99,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa03,Zacapu,A. andersoni,Bacteria,12,98,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa04,Zacapu,A. andersoni,Bacteria,13,122,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa05,Zacapu,A. andersoni,Bacteria,12,97,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa06,Zacapu,A. andersoni,Bacteria,14,128,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa08,Zacapu,A. andersoni,Bacteria,13,89,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa09,Zacapu,A. andersoni,Bacteria,14,79,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
M-AnZa10,Zacapu,A. andersoni,Bacteria,12,79,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,233.476
M-AnZa11,Zacapu,A. andersoni,Bacteria,14,102,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa12,Zacapu,A. andersoni,Bacteria,13,88,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa13,Zacapu,A. andersoni,Bacteria,12,100,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa14,Zacapu,A. andersoni,Bacteria,13,98,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa15,Zacapu,A. andersoni,Bacteria,14,98,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa16,Zacapu,A. andersoni,Bacteria,13,118,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa17,Zacapu,A. andersoni,Bacteria,23,98,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa18,Zacapu,A. andersoni,Bacteria,13,97,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa19,Zacapu,A. andersoni,Bacteria,14,99,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa20,Zacapu,A. andersoni,Bacteria,13,103,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa21,Zacapu,A. andersoni,Bacteria,11,89,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
M-AnZa22,Zacapu,A. andersoni,Bacteria,10,93,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa23,Zacapu,A. andersoni,Bacteria,11,123,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa24,Zacapu,A. andersoni,Bacteria,12,103,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa25,Zacapu,A. andersoni,Bacteria,12,99,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa26,Zacapu,A. andersoni,Bacteria,10,96,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa27,Zacapu,A. andersoni,Bacteria,12,118,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa28,Zacapu,A. andersoni,Bacteria,11,103,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa29,Zacapu,A. andersoni,Bacteria,12,117,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-AnZa30,Zacapu,A. andersoni,Bacteria,13,129,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
M-DuPa01,Patzcuaro,A. dumerillii,Bacteria,15,149,2039,20.539,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,97.3
M-DuPa02,Patzcuaro,A. dumerillii,Bacteria,13,184,2039,20.819,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,101.2
M-DuPa03,Patzcuaro,A. dumerillii,Bacteria,15,123,2039,20.603,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,95.6
M-DuPa04,Patzcuaro,A. dumerillii,Bacteria,13,144,2039,20.348,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,93.6
M-DuPa05,Patzcuaro,A. dumerillii,Bacteria,14,127,2039,20.348,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,93.6
M-DuPa06,Patzcuaro,A. dumerillii,Bacteria,16.4,158,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,139.5503448,12.78275862,26.38931034,166.68
M-DuPa07,Patzcuaro,A. dumerillii,Bacteria,15,126,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,139.5503448,12.78275862,26.38931034,166.68
M-DuPa08,Patzcuaro,A. dumerillii,Bacteria,14,89,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,139.5503448,12.78275862,26.38931034,166.68
M-DuPa09,Patzcuaro,A. dumerillii,Bacteria,14.4,104,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.47689655,24.13192982,105.8
M-DuPa10,Patzcuaro,A. dumerillii,Bacteria,15,110,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.47689655,24.13192982,106.6
M-DuPa11,Patzcuaro,A. dumerillii,Bacteria,12.5,124,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.47689655,24.13192982,89.8
M-DuPa12,Patzcuaro,A. dumerillii,Bacteria,16.7,119,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.47689655,24.13192982,103.9
