sample-id	Locality	Host species	SVL	Weight	Elevation	Temperature	pH	Bio_1	Bio_9	Bio_10	Bio_11	Bio_12	Bio_13	Bio_14	Bio_15	Bio_16	Bio_17	Bio_18	Bio_19	Bio_2	Bio_3	Bio_4	Bio_5	Bio_6	Bio_7	Bio_8	Pp	Tmin	Tmax	DO
M-AnZa24	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	103	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa25	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	99	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa26	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	10	96	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa27	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	118	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa28	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	11	103	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa29	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	117	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-AnZa30	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	129	1984	18.613	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	189.696
M-DuPa01	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	15	149	2039	20.539	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	37.92446429	11.0887931	28.60758621	97.3
M-DuPa02	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	13	184	2039	20.819	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	37.92446429	11.0887931	28.60758621	101.2
M-DuPa03	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	15	123	2039	20.603	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	37.92446429	11.0887931	28.60758621	95.6
M-DuPa04	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	13	144	2039	20.348	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	37.92446429	11.0887931	28.60758621	93.6
M-DuPa05	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	14	127	2039	20.348	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	37.92446429	11.0887931	28.60758621	93.6
M-DuPa06	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	16.4	158	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	139.5503448	12.78275862	26.38931034	166.68
M-DuPa07	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	15	126	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	139.5503448	12.78275862	26.38931034	166.68
M-DuPa08	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	14	89	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	139.5503448	12.78275862	26.38931034	166.68
M-DuPa09	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	14.4	104	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	210.3094828	12.47689655	24.13192982	105.8
M-DuPa10	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	15	110	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	210.3094828	12.47689655	24.13192982	106.6
M-DuPa11	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	12.5	124	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	210.3094828	12.47689655	24.13192982	89.8
M-DuPa12	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	16.7	119	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	210.3094828	12.47689655	24.13192982	103.9
M-DuPa13	"Patzcuaro Lake, Michoacan, Mexico"	Ambystoma dumerilii	14.2	83	2039	19.273	9.2	16.5	16.12	18.9	13.37	904	210	5	108.55	581	18	204	36	15.19	63.83	226.56	27.8	4	23.8	17.8	210.3094828	12.47689655	24.13192982	103.9
M-TaAl01	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	9	33	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl03	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	3	3	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl04	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	2.5	0.5	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl05	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	10	62	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl06	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	8.5	31	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl07	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7.5	22	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl08	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	6.5	19	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl09	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7.5	21	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl10	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7.5	24	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl11	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	8	18	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl12	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7	19	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl13	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7.5	17	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl14	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	6	16	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl15	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7	19	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl16	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	6.6	19	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl17	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	6	12	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl18	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	6.5	14	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl19	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	8	47	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl20	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	10.5	53	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl21	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	10	72	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl22	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	10.5	103	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
