sample-id	Locality	SampleType	Species	SampleName
MX2M1	CDMX	Axolotl	A. mexicanum	MX2M1
MX2M2	CDMX	Axolotl	A. mexicanum	MX2M2
MX2M3	CDMX	Axolotl	A. mexicanum	MX2M3
MX2M4	CDMX	Axolotl	A. mexicanum	MX2M4
MX2M5	CDMX	Axolotl	A. mexicanum	MX2M5
MX2M6	CDMX	Axolotl	A. mexicanum	MX2M6
MX2M7	CDMX	Axolotl	A. mexicanum	MX2M7
MX3M1	CDMX	Axolotl	A. mexicanum	MX3M1
MX3M2	CDMX	Axolotl	A. mexicanum	MX3M2
MX3M3	CDMX	Axolotl	A. mexicanum	MX3M3
MX3M4	CDMX	Axolotl	A. mexicanum	MX3M4
MX3M5	CDMX	Axolotl	A. mexicanum	MX3M5
MX3M6	CDMX	Axolotl	A. mexicanum	MX3M6
MX3M7	CDMX	Axolotl	A. mexicanum	MX3M7
MX3M8	CDMX	Axolotl	A. mexicanum	MX3M8
MX4M1	CDMX	Axolotl	A. mexicanum	MX4M1
MX4M2	CDMX	Axolotl	A. mexicanum	MX4M2
MX4M3	CDMX	Axolotl	A. mexicanum	MX4M3
MX4M4	CDMX	Axolotl	A. mexicanum	MX4M4
MX4M5	CDMX	Axolotl	A. mexicanum	MX4M5
